id,lat,lon,number,score,rural,tax,azmua,pchpsa,fedmuap,mpc1,mpc2,mpc3,travel2,travel3
Saddlebrooke,32.85462,-110.81661,93,30,RURAL,No,(See PC HPSAs),Geographic::(San Manuel),No,Saddlebrooke,Oro Valley,Oracle,Less than or equal to 20 minutes,21 to 30 minutes
Safford,32.91403,-109.52299,85,44,RURAL,A,(See PC HPSAs),Geographic::(Graham-Southern),59.90::MUP-Low Inc::(Graham County),Safford,Thatcher,Central,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Sahuarita,31.89585,-110.96816,119,20,URBAN,No,(See PC HPSAs),Geographic::(Arivaca)::Geographic::(Continental),No,Sahuarita,Corona De Tucson,Green Valley,Less than or equal to 20 minutes,21 to 30 minutes
Salt River Pima,33.50541,-111.77446,62,66,INDIAN,A,Yes,No,No,Salt River,Mesa,Tempe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
San Carlos Apache Tribe,33.34623,-110.12382,25,97,INDIAN,No,(See PC HPSAs),Native American::(San Carlos Apache Tribe),60.20::MUA::(Gila County)::59.90::MUP-Low Inc::(Graham County),San Carlos,Claypool,Superior,31 to 40 minutes,60 to 80 minutes
San Luis,32.52261,-114.67919,89,50,RURAL,No,(See PC HPSAs),County::(Yuma County),No,San Luis,Somerton,Yuma,Less than or equal to 20 minutes,21 to 30 minutes
San Tan Valley,33.22738,-111.48611,92,22,RURAL,No,(See PC HPSAs),Geographic::(Superior/Kearny),No,San Tan Valley,Queen Creek,Higley,Less than or equal to 20 minutes,21 to 30 minutes
San Xavier,32.07438,-111.08874,116,58,INDIAN,No,(See PC HPSAs),Geographic::(Arivaca),No,San Xavier,Corona De Tucson,Green Valley,21 to 30 minutes,21 to 30 minutes
Scottsdale Central,33.57476,-111.89555,44,8,URBAN,A,No,No,No,Scottsdale,Paradise Valley,Tempe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Scottsdale North,33.75111,-111.55265,43,8,URBAN,A,No,No,No,Scottsdale,Paradise Valley,Tempe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Scottsdale South,33.48042,-111.92627,45,22,URBAN,A,No,No,No,Scottsdale,Paradise Valley,Tempe,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Show Low,34.24385,-110.0452,15,32,RURAL,No,(See PC HPSAs),P Low Inc.::(Show Low),38.10::MUA::(Navajo County),Show Low,Lakeside,Polacca,Less than or equal to 20 minutes,Less than or equal to 20 minutes
Sierra Vista,31.72793,-110.13105,123,26,RURAL,No,(See PC HPSAs),Geographic::(Sierra Vista-Tombstone),58.93::MUA::(Sierra Vista/Benson),Sierra Vista,Fort Huachuca,Hereford,Less than or equal to 20 minutes,21 to 30 minutes
