id	date	r1	r2	TG92300
GAS-TG700712-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700712-095_S63_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700712-095_S63_L001_R2_001.fastq.gz	89.93%
GAS-TG700714-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700714-095_S64_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700714-095_S64_L001_R2_001.fastq.gz	89.73%
GAS-TG700716-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700716-095_S65_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700716-095_S65_L001_R2_001.fastq.gz	90.82%
GAS-TG700718-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700718-095_S66_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700718-095_S66_L001_R2_001.fastq.gz	89.74%
GAS-TG700720-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700720-095_S67_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700720-095_S67_L001_R2_001.fastq.gz	88.94%
GAS-TG700724-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700724-095_S69_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700724-095_S69_L001_R2_001.fastq.gz	89.85%
GAS-TG700726-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700726-095_S70_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700726-095_S70_L001_R2_001.fastq.gz	89.88%
GAS-TG700728-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700728-095_S71_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700728-095_S71_L001_R2_001.fastq.gz	88.48%
GAS-TG700730-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700730-095_S72_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700730-095_S72_L001_R2_001.fastq.gz	89.93%
GAS-TG700732-095	2021-01-25	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700732-095_S73_L001_R1_001.fastq.gz	/TGenNextGen/TGN-MiSeq1034/PMI-TGN_Bowers_PH-GAS/GAS-TG700732-095_S73_L001_R2_001.fastq.gz	89.93%
